"Frame ID";"Cascade render";Render
41;3.25958;1.19866
42;3.21914;1.0561
43;2.85517;1.02803
44;3.46592;0.942592
45;3.76131;0.937888
46;3.42173;0.941248
47;3.55853;0.866816
48;3.51978;0.798048
49;3.78314;0.896704
50;4.10096;0.923456
51;4.2167;1.11757
52;4.40333;1.15011
53;4.60115;1.24701
54;5.10954;1.28365
55;5.22995;1.31837
56;5.17472;1.36138
57;5.44618;1.40173
58;5.45731;1.36182
59;5.71594;1.41642
60;6.09088;1.35389
61;5.88838;1.44067
62;6.34963;1.43789
63;6.02765;1.45965
64;5.59136;1.47248
65;5.50522;1.4177
66;5.43702;1.66429
67;5.59853;1.55898
68;5.45155;1.49667
69;5.47395;1.46752
70;5.39402;1.49267
71;5.24918;1.44138
72;5.36682;1.46742
73;4.94685;1.50637
74;5.35795;1.45027
75;4.96166;1.49274
76;5.25875;1.54458
77;4.60909;1.51926
78;4.70086;1.54346
79;4.52819;1.51578
80;4.34515;1.47722
81;4.21792;1.8112
82;4.00154;1.65104
83;3.75466;1.52973
84;3.67299;1.51178
85;3.76883;1.46214
86;3.18518;1.5056
87;3.0889;1.4639
88;2.97728;1.50886
89;2.84182;1.40067
90;3.92528;1.43402
91;3.0993;1.41408
92;3.1897;1.49328
93;3.12909;1.31434
94;2.85344;1.30678
95;3.04272;1.25469
96;2.9273;1.26752
97;3.03286;1.42474
98;3.108;1.76765
99;3.00483;1.36429
100;4.46691;1.48211
101;3.0488;1.35862
102;3.24938;1.3425
103;3.05219;1.37462
104;2.9897;1.05248
105;3.39126;1.25456
106;2.8769;1.11658
107;2.85114;1.00787
108;2.51923;1.06906
109;2.57878;1.03197
110;2.83213;1.00064
111;3.0896;1.04918
112;2.88029;1.56845
113;2.34758;1.1129
114;2.99062;1.27363
115;2.1495;1.59232
116;2.57888;1.07072
117;3.09027;1.10035
118;2.12826;1.23933
119;2.07267;1.1745
120;3.2559;1.51834
121;2.77462;1.52678
122;2.68666;1.28909
123;3.55754;1.07542
124;5.74339;1.54557
125;2.1369;2.15539
126;2.72237;1.12048
127;2.67994;1.15706
128;2.91114;1.29402
129;3.00634;1.19971
130;1.96762;1.81926
131;3.02682;0.97408
132;2.42035;1.4457
133;2.02586;0.974016
134;2.60589;0.923072
135;2.17856;1.10368
136;2.11894;0.924192
137;2.48909;1.04653
138;2.50272;1.06787
139;2.69632;0.96704
140;3.47328;1.10992
141;2.74522;1.03254
142;2.78653;1.05376
143;2.67568;0.944416
144;2.72192;0.925536
145;4.18035;0.975456
146;3.49443;0.959616
147;4.06442;0.983264
148;2.67181;0.939136
149;2.98576;0.900608
150;3.0184;0.895328
151;2.89568;0.88128
152;3.57654;0.916064
153;3.05974;0.932736
154;2.43037;0.86352
155;4.02314;0.930944
156;3.46672;0.924448
157;2.5833;0.884736
158;2.33466;0.945216
159;2.55181;0.955456
160;2.32528;1.40778
161;3.27965;1.07168
162;2.5433;1.04125
163;2.28477;0.82112
164;2.1385;0.816352
165;2.7537;0.813312
166;2.36186;0.869056
167;2.12282;0.876832
168;2.23613;0.790176
169;2.46906;0.842496
170;3.02464;0.842816
171;2.27722;0.859136
172;2.3144;0.831008
173;2.49046;0.882784
