"Frame ID";"Cascade render";Render
15;13.834;9.39683
16;13.4812;9.01008
17;13.8869;9.33197
18;13.7656;9.5128
19;14.0822;9.1335
20;14.1887;9.35021
21;14.8558;9.56602
22;14.1498;9.53277
23;14.1881;9.10214
24;14.2051;9.56806
25;16.2029;10.2505
26;14.5629;10.5698
27;19.2701;10.0074
28;13.9045;11.6412
29;15.7408;9.35322
30;15.9508;9.72544
31;13.9681;9.54941
32;17.9736;11.2924
33;15.2106;9.69411
34;13.5336;9.96157
35;13.8749;10.2618
36;14.1681;10.294
37;14.0561;10.5499
38;14.172;10.4495
39;15.1324;10.679
40;14.2645;11.254
41;13.831;10.8242
42;13.4946;11.4196
43;13.462;11.0498
44;13.052;10.8327
45;12.7351;11.1857
46;12.71;10.5432
47;12.9596;10.9396
48;12.3463;13.2558
49;12.8669;10.3449
50;11.9306;10.4034
51;11.9371;9.93069
52;11.9211;10.3198
53;11.9182;9.82682
54;11.5845;9.62714
55;11.6089;9.97021
56;11.3842;10.8548
57;11.1121;10.4997
58;10.9123;10.446
59;11.9545;10.115
60;11.1783;9.61299
61;11.0676;10.076
62;11.2136;9.97456
63;11.4652;9.74387
64;11.7868;9.55123
65;12.1927;9.81984
66;12.2915;9.38122
67;12.2721;9.89414
68;13.2816;9.41117
69;14.2645;9.71283
70;13.0515;9.37187
71;12.8037;9.36307
72;12.7744;9.75066
73;13.2398;9.19469
74;12.9708;9.15616
75;13.2538;9.34861
76;16.1297;10.466
77;15.5453;10.1684
78;15.7713;10.0575
79;15.9136;9.99069
80;16.2973;9.98867
81;15.8773;9.86995
82;16.0725;9.91078
83;16.3754;10.2041
84;16.0894;9.93824
85;16.4461;10.3654
86;16.541;10.0438
87;16.6002;9.83494
88;16.7178;9.92112
89;16.315;9.93408
90;17.2;10.2613
91;16.7734;10.1981
92;16.6843;10.0332
93;17.2721;10.1981
94;17.1234;9.94301
95;17.0156;10.004
96;17.0086;9.85709
97;16.6533;9.89014
98;17.1184;10.5748
99;18.0014;10.2508
100;16.9577;10.0384
101;17.5272;9.87318
102;16.9058;9.8673
103;16.9942;9.71056
104;16.7131;9.89126
105;16.7427;10.076
106;16.4466;10.364
107;16.9905;9.77904
108;16.8735;10.1368
109;16.5793;9.8273
110;16.6992;10.4022
