"Frame ID";"Cascade render";Render
12;48.3612;13.6995
13;23.1466;9.86627
14;20.8406;8.72339
15;21.027;10.862
16;21.0077;8.95696
17;25.187;8.96384
18;21.0794;8.84106
19;21.3043;8.8992
20;23.1257;8.89645
21;21.1549;8.51152
22;21.1568;8.34755
23;20.9763;8.70474
24;22.1248;8.764
25;20.7106;8.70256
26;20.7398;8.99232
27;20.4612;9.3535
28;25.1939;9.08109
29;20.7139;9.34874
30;25.8383;9.66998
31;25.1333;8.97834
32;26.7012;9.1616
33;26.2036;13.4326
34;21.4431;11.2991
35;23.2956;13.4124
36;19.979;12.8873
37;23.5111;10.0318
38;19.1388;9.44224
39;18.9401;9.25133
40;18.5485;9.27795
41;18.5057;9.23136
42;18.2197;9.82202
43;18.533;9.66963
44;18.1513;9.58138
45;18.2946;10.2139
46;18.2266;9.71648
47;18.0527;9.49066
48;17.5041;9.65792
49;17.2953;9.72774
50;17.3658;9.9064
51;17.0288;10.1208
52;16.5263;10.7625
53;16.9804;10.3636
54;18.3524;10.2782
55;16.1774;10.3905
56;16.0898;12.3165
57;15.355;10.4896
58;15.808;10.2697
59;15.2922;12.4124
60;14.7149;10.0106
61;14.7839;10.1582
62;14.7845;10.1389
63;14.5907;10.0618
64;15.5732;10.0085
65;15.7576;9.62576
66;15.4116;9.81754
67;16.1058;9.87565
68;16.0676;11.5713
69;16.5774;9.44506
70;16.9389;9.63654
71;17.0569;9.48067
72;17.6188;9.23242
73;17.7192;9.91206
74;20.2831;10.3719
75;26.3591;13.7327
76;22.4738;14.6054
77;24.2362;13.6455
78;25.6505;10.2803
79;22.2306;12.3494
80;23.957;10.6219
81;29.4243;10.8666
82;25.4634;13.3929
83;25.724;12.6549
84;24.5936;13.701
85;27.3081;9.37894
86;24.3892;9.24771
87;23.6333;9.34854
88;24.4027;9.40486
89;24.5573;9.29754
90;24.5734;9.65043
91;25.2628;9.29574
92;27.1818;9.61363
93;24.6319;9.46278
94;25.2025;11.2534
95;25.3822;11.2422
96;25.9303;10.3029
97;26.9033;9.47786
98;25.6831;9.41869
99;25.4629;9.30768
100;25.4995;9.52608
101;25.6065;9.3856
102;29.7823;9.35085
103;25.1018;9.36342
104;24.8088;9.58496
105;25.0316;9.4232
106;25.4259;9.31981
107;25.2116;9.896
108;28.5428;9.46797
109;24.671;9.19709
110;24.2078;9.34109
111;24.3547;9.56944
112;23.9362;9.67114
113;23.6119;9.52531
114;23.545;9.60746
115;23.5988;9.39094
116;23.0341;9.31619
117;22.8157;9.32326
118;22.8552;9.51181
119;22.4414;9.36221
120;22.4024;9.74781
121;21.7934;9.70522
122;21.9371;9.3503
123;23.3306;9.652
124;21.6999;9.95085
125;24.2325;9.88723
126;21.4016;10.0083
127;21.0629;9.71648
128;20.9179;9.75856
129;20.5504;9.49936
130;20.402;9.74394
131;20.0753;9.37318
132;20.4103;9.39245
133;20.9235;9.48906
134;20.6085;9.53715
135;20.7757;9.4727
136;21.1538;9.7767
137;20.9469;9.13584
138;22.3247;9.67395
139;21.7688;9.53878
140;22.0448;9.45632
141;22.6763;9.45613
142;23.2945;11.0064
143;25.2131;9.60928
144;23.7127;9.3784
145;25.6035;9.46426
146;23.4557;9.98874
147;34.5371;10.0667
148;34.5543;11.0196
149;35.523;10.2944
150;33.4567;13.4274
151;36.3082;10.0287
152;31.6923;10.2015
153;31.3425;10.0948
154;31.3908;10.0742
155;35.2716;10.0115
156;33.109;11.6844
157;32.5191;10.0783
158;32.6061;9.96486
159;31.8112;10.018
160;31.9354;9.8799
161;32.0157;9.87626
162;32.2621;9.93347
163;31.4621;9.97846
164;35.4093;9.93661
165;31.6748;9.64438
166;31.0782;9.7352
167;31.4312;9.9647
168;31.3169;9.64282
169;31.2863;9.82323
170;31.9531;9.70608
171;31.6289;10.1408
172;31.7657;10.293
173;31.577;10.6281
174;32.9407;10.8787
175;31.9905;11.0253
176;31.4116;10.7215
177;31.5993;11.1837
178;31.2807;11.0436
179;32.3177;10.9981
180;29.3863;10.9469
181;28.4287;10.5478
182;27.2085;10.6222
183;27.2012;10.6809
184;29.4022;10.9448
185;26.0718;10.6945
186;25.5347;10.5571
187;25.5748;11.6821
188;25.0144;10.7379
189;24.1559;10.6439
190;24.0066;10.3453
191;23.6926;10.6347
192;22.6583;10.7401
193;23.062;10.842
194;23.0142;10.7174
195;24.6645;10.7011
196;24.3105;10.3456
197;25.0004;10.478
198;24.92;12.7987
199;26.373;10.4066
200;29.1292;10.3973
201;26.7099;10.6499
202;28.037;10.2173
203;27.8662;10.4305
204;28.1344;10.5604
205;28.3707;10.3387
206;28.2238;10.7793
207;28.5912;10.1567
